DISTRICTS,SOIL_TYPE,COMMODITIES,SEASONS,WATER_REQ,Min_Temp,Max_Temp,Ideal_Hum,N,P,K
Bagalkot,Black Soil,Bajra(Pearl Millet/Cumbu),Monsoon,LOW,25,38,45,50,30,30
Bagalkot,Black Soil,Bajra(Pearl Millet/Cumbu),Post-Monsoon,LOW,25,38,45,50,30,30
Bagalkot,Black Soil,Bajra(Pearl Millet/Cumbu),Summer,LOW,25,38,45,50,30,30
Bagalkot,Black Soil,Banana,Annual,HIGH,15,35,80,110,80,200
Bagalkot,Black Soil,Bhindi(Ladies Finger),Monsoon,MODERATE,22,35,65,60,40,40
Bagalkot,Black Soil,Bhindi(Ladies Finger),Summer,MODERATE,22,35,65,60,40,40
Bagalkot,Black Soil,Bitter gourd,Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Bitter gourd,Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Bottle gourd,Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Bottle gourd,Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Brinjal,Monsoon,MODERATE,20,32,65,80,50,50
Bagalkot,Black Soil,Brinjal,Summer,MODERATE,20,32,65,80,50,50
Bagalkot,Black Soil,Brinjal,Winter,MODERATE,20,32,65,80,50,50
Bagalkot,Black Soil,Capsicum,Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Capsicum,Post-Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Cucumber(Kheera),Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Cucumber(Kheera),Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Green Avare(W),Post-Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Green Chilli,Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Green Chilli,Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Groundnut,Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Guava,Annual,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Jowar(Sorghum),Monsoon,LOW,24,34,50,60,30,30
Bagalkot,Black Soil,Jowar(Sorghum),Post-Monsoon,LOW,24,34,50,60,30,30
Bagalkot,Black Soil,Karbuja(Musk Melon),Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Lemon,Annual,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Maize,Monsoon,MODERATE,18,32,65,70,40,45
Bagalkot,Black Soil,Mango,Summer,MODERATE,24,34,55,80,45,90
Bagalkot,Black Soil,Mango(Raw-Ripe),Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Millets,Monsoon,LOW,20,30,60,80,45,50
Bagalkot,Black Soil,Mustard,Post-Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Onion,Monsoon,MODERATE,15,27,55,100,50,50
Bagalkot,Black Soil,Onion,Post-Monsoon,MODERATE,15,27,55,100,50,50
Bagalkot,Black Soil,Onion Green,Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Onion Green,Post-Monsoon,MODERATE,20,30,60,80,45,50
