District,Crop,Market_Price_Per_Quintal
Bagalkot,Bajra(Pearl Millet/Cumbu),5149
Bagalkot,Banana,3227
Bagalkot,Bhindi(Ladies Finger),1889
Bagalkot,Bitter gourd,876
Bagalkot,Bottle gourd,868
Bagalkot,Brinjal,1790
Bagalkot,Capsicum,1274
Bagalkot,Cucumber(Kheera),1801
Bagalkot,Green Avare(W),1088
Bagalkot,Green Chilli,2090
Bagalkot,Groundnut,2790
Bagalkot,Guava,1042
Bagalkot,Jowar(Sorghum),4517
Bagalkot,Karbuja(Musk Melon),1061
Bagalkot,Lemon,1002
Bagalkot,Maize,2605
Bagalkot,Mango,2303
Bagalkot,Mango(Raw-Ripe),3321
Bagalkot,Millets,5092
Bagalkot,Mustard,709
Bagalkot,Onion,2821
Bagalkot,Onion Green,798
Bagalkot,Orange,2386
Bagalkot,Papaya,2115
Bagalkot,Papaya(Raw),1675
Bagalkot,Pomegranate,1313
Bagalkot,Pumpkin,3301
Bagalkot,Red Gram,7364
Bagalkot,Ridgegourd(Tori),781
Bagalkot,Round gourd,2970
Bagalkot,Season Leaves,3093
Bagalkot,"Sesamum(Sesame,Gingelly,Til)",3287
Bagalkot,Snakegourd,2401
Bagalkot,Soanf,2033
Bagalkot,Soyabean,1359
Bagalkot,Sponge gourd,2036
Bagalkot,Sugarcane,343
Bagalkot,Surat Beans(Papadi),3037
Bagalkot,Sweet Pumpkin,1220
Bagalkot,Tamarind Fruit,1462
Bagalkot,Tender Coconut,3029
Bagalkot,Thondekai,3322
Bagalkot,Tomatao,1754
Bagalkot,Water Melon,1669
Bagalkot,Wheat,2155
Bagalkot,Cabbage,3498
Bagalkot,Carrot,710
Bagalkot,Cauliflower,890
Bagalkot,Coconut,3137
Bagalkot,Ginger(Green),6805
Bagalkot,Green Peas,1035
Bagalkot,Marigold(Calcutta),2453
Bagalkot,Marigold(loose),1093
Bagalkot,Pineapple,2589
Bagalkot,Potato,1659
Bagalkot,Raddish,2981
Bagalkot,Rose(Local),2894
Bagalkot,Rubber,565
Bagalkot,Seemebadnekai,1176
Bagalkot,Spinach,2177
Bagalkot,Sweet Potato,2757
Bagalkot,Turmeric,11284
Bagalkot,White Peas,945
Bagalkot,Beans,1797
Bagalkot,Jute,2559
Bagalkot,Paddy(Basmati),2591
Bagalkot,Paddy(Common),2504
Bagalkot,Pointed gourd(Parval),989
Bagalkot,Rice,2585
Ballari (Bellary),Bajra(Pearl Millet/Cumbu),5341
Ballari (Bellary),Banana,3143
Ballari (Bellary),Bhindi(Ladies Finger),2719
Ballari (Bellary),Bitter gourd,1654
Ballari (Bellary),Bottle gourd,3011
Ballari (Bellary),Brinjal,1269
Ballari (Bellary),Capsicum,603
Ballari (Bellary),Cucumber(Kheera),3008
